t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
78.10000000000002,1.0240481764705882e-08,4.0843738308823535e-08,5.649332121323529e-10,-0.2891655661239987,-440.4510071056267,-1144.489060745535,-1.144489060745535
78.2,1.0214187647058826e-08,4.085663904411765e-08,5.651360687500001e-10,-0.2871414574948394,-422.5900043264614,-1098.0781728943964,-1.0980781728943965
78.30000000000003,1.0178849411764708e-08,4.0869539779411776e-08,5.670858113970586e-10,-0.2845728565035041,-405.5180233794943,-1053.7175172849195,-1.0537175172849196
78.4,1.0137481764705889e-08,4.0891105588235294e-08,5.690355540441174e-10,-0.2819842940376159,-385.4967751164917,-1001.6933437677455,-1.0016933437677458
78.5,1.0096114117647073e-08,4.0916385e-08,5.686701029411762e-10,-0.2791814300819496,-363.6775091605752,-944.9971146816914,-0.9449971146816916
78.60000000000002,1.0047888617647064e-08,4.09416644117647e-08,5.676892205882351e-10,-0.2760363444470353,-344.38529936434173,-894.8673097472189,-0.8948673097472188
78.7,9.99872795588236e-09,4.0906832352941175e-08,5.667900889705883e-10,-0.2726798131429005,-324.5341639988742,-843.2851657570067,-0.8432851657570066
78.80000000000003,9.94757156826568e-09,4.087077352941177e-08,5.669770742647059e-10,-0.2690188741601916,-305.2379520775226,-793.1449615083233,-0.7931449615083233
78.9,9.8859376199262e-09,4.0839577279411765e-08,5.671640595588236e-10,-0.2654066515818672,-286.49992407181605,-744.4551691670567,-0.7444551691670568
79.0,9.824303671586722e-09,4.0822220661764704e-08,5.66541669852941e-10,-0.2614597135883843,-268.6716589597216,-698.1293484430956,-0.6981293484430956
79.10000000000002,9.7734428125e-09,4.0804864044117655e-08,5.644161551470588e-10,-0.2574143101578292,-251.85914754248768,-654.4429109273127,-0.6544429109273127
79.2,9.735749062500005e-09,4.0807868602941175e-08,5.622906404411767e-10,-0.2533257850371436,-235.8901200335313,-612.9482225286048,-0.6129482225286048
79.30000000000003,9.6980553125e-09,4.0828217867647055e-08,5.6264489375e-10,-0.2489042582197173,-220.8603025190666,-573.894022509075,-0.573894022509075
79.4,9.662163213235297e-09,4.084856713235294e-08,5.644555187500001e-10,-0.2443712479409053,-206.75807607542404,-537.2501196991655,-0.5372501196991655
79.5,9.626937477941178e-09,4.084891080882353e-08,5.6626614375e-10,-0.2398290879065757,-193.61175887181585,-503.0900973904591,-0.5030900973904591
79.60000000000002,9.591630441176467e-09,4.084486301470588e-08,5.67489401107011e-10,-0.2353674795255881,-181.28387523295825,-471.0567321825262,-0.4710567321825262
79.7,9.54827455882353e-09,4.0840039852941184e-08,5.686545671586717e-10,-0.2306198957431225,-169.77553435638546,-441.1529062675372,-0.4411529062675372
79.80000000000003,9.504918676470586e-09,4.082823838235295e-08,5.692599426470584e-10,-0.2259080771532993,-159.06955326174753,-413.3339705637004,-0.4133339705637003
79.9,9.465081069852941e-09,4.081643691176472e-08,5.676261558823527e-10,-0.2212442849686344,-148.90370476080523,-386.9185413449526,-0.3869185413449525
80.0,9.43385717279412e-09,4.081687786764706e-08,5.659923691176471e-10,-0.2164258378532964,-139.57766629026102,-362.6853148624662,-0.3626853148624662
80.10000000000002,9.402633275735292e-09,4.0837293308823535e-08,5.655888117647061e-10,-0.2117419633694742,-130.73192585011518,-339.7001178607178,-0.3397001178607178
80.2,9.378201599264709e-09,4.085770875e-08,5.665180029411762e-10,-0.2068064787963921,-122.58024329749604,-318.5183942237334,-0.3185183942237334
80.30000000000003,9.358893878676469e-09,4.086019985294119e-08,5.67447194117647e-10,-0.2019671400333692,-114.9008350801907,-298.56385091263684,-0.2985638509126368
80.4,9.339586158088236e-09,4.085345720588236e-08,5.680201352941178e-10,-0.1970213807607106,-107.82511385222573,-280.17795688209185,-0.2801779568820918
80.5,9.303985000000004e-09,4.084671455882353e-08,5.68480576470588e-10,-0.1920747541067034,-101.16732457747167,-262.87803732060104,-0.262878037320601
80.60000000000002,9.265508529411764e-09,4.0852077867647065e-08,5.689139735294115e-10,-0.1871180527986668,-94.97130939788164,-246.7780137564513,-0.2467780137564512
80.7,9.229623886029414e-09,4.0858213897058825e-08,5.686983117647056e-10,-0.182091645244738,-89.13585604833028,-231.614891376643,-0.2316148913766429
80.80000000000003,9.211084547794118e-09,4.085549897058823e-08,5.684826499999999e-10,-0.1771837646380518,-83.75110705807313,-217.6229008605856,-0.2176229008605855
80.9,9.192545209558824e-09,4.082140338235293e-08,5.687898588235295e-10,-0.1722039834630216,-78.69172463156278,-204.4763584577873,-0.2044763584577873
81.0,9.174951283088237e-09,4.0787307794117656e-08,5.702081676470591e-10,-0.1671200179939959,-73.93585208120582,-192.11847070098133,-0.1921184707009813
81.10000000000002,9.158717827205882e-09,4.0777407058823536e-08,5.716264764705882e-10,-0.1622041582082573,-69.51111810533547,-180.62102932748877,-0.1806210293274887
81.2,9.142484371323531e-09,4.0791701176470586e-08,5.717913367647059e-10,-0.1570961339339548,-65.40981886539348,-169.96401631302666,-0.1699640163130266
81.30000000000003,9.120067297794116e-09,4.0805995294117656e-08,5.71120564705882e-10,-0.152144145988614,-61.58874392816443,-160.03515159164616,-0.1600351515916461
81.4,9.094872077205882e-09,4.0813206937269375e-08,5.704497926470586e-10,-0.1471918022528082,-57.9888525131499,-150.68102076236224,-0.1506810207623622
81.5,9.069676856617648e-09,4.081842095940959e-08,5.684283823529411e-10,-0.1422098140986294,-54.58103834408767,-141.82599267836463,-0.1418259926783646
81.60000000000002,9.07544318014706e-09,4.0824576838235286e-08,5.662227941176464e-10,-0.1370523107529113,-51.45234101817983,-133.69623521131763,-0.1336962352113176
81.7,9.082167077205882e-09,4.0843245955882345e-08,5.649735647058827e-10,-0.1320112238024452,-48.4697431669726,-125.9461096394826,-0.1259461096394825
81.80000000000003,9.080996397058821e-09,4.0861915073529416e-08,5.687452191176476e-10,-0.1269393483288507,-45.75110105299368,-118.88185933846144,-0.1188818593384614
81.9,9.056141985294116e-09,4.086456268382353e-08,5.725168735294121e-10,-0.1218785505308784,-43.15153098972176,-112.12701157546655,-0.1121270115754665
82.0,9.031287573529414e-09,4.0837456066176484e-08,5.73082157352941e-10,-0.1169452037540701,-40.58522465163772,-105.4585978743378,-0.1054585978743378
82.10000000000002,9.020534084558825e-09,4.0810349448529424e-08,5.69566605882352e-10,-0.1117343766064794,-38.39581667981942,-99.76953499826134,-0.0997695349982613
82.2,9.0222851875e-09,4.0807576580882345e-08,5.66051054411764e-10,-0.1067916765906302,-36.19437097364559,-94.04919269481654,-0.0940491926948165
82.30000000000003,9.024036290441176e-09,4.0819094963235286e-08,5.665702029411766e-10,-0.101655101795573,-34.126239950382924,-88.67526166928262,-0.0886752616692826
82.4,9.020691540441176e-09,4.083061334558824e-08,5.686584014705886e-10,-0.0967333287837952,-32.07681746556171,-83.34994380898921,-0.0833499438089892
82.5,9.016151466911764e-09,4.083328599264706e-08,5.707466e-10,-0.0916476960746961,-30.20274461086175,-78.48026285323675,-0.0784802628532367
82.60000000000002,9.00965663970588e-09,4.083508378676471e-08,5.67864614705882e-10,-0.0868058781981155,-28.258058796448942,-73.42709778997984,-0.0734270977899798
82.7,8.983397080882353e-09,4.0837142830882354e-08,5.649826294117651e-10,-0.0818947793083178,-26.41949206970118,-68.64967766318486,-0.0686496776631848
82.80000000000003,8.95713752205882e-09,4.0840315625e-08,5.636823352941173e-10,-0.0769904587470902,-24.54589180486573,-63.781224707644505,-0.0637812247076445
82.9,8.942509671586718e-09,4.0843488419117653e-08,5.664492470588236e-10,-0.0720584479743281,-22.75797090771441,-59.13540513802934,-0.0591354051380293
83.0,8.947687162361624e-09,4.083945569852943e-08,5.692161588235295e-10,-0.0671323778051393,-21.015425733966268,-54.607492028430286,-0.0546074920284302
83.10000000000002,8.952864653136533e-09,4.082729761029413e-08,5.688466176470583e-10,-0.0622688147859765,-19.21477657520545,-49.92859873224992,-0.0499285987322499
83.2,8.953750742647059e-09,4.081513952205882e-08,5.66012720588235e-10,-0.0575612950150791,-17.475084132219607,-45.4080982953387,-0.0454080982953387
83.30000000000003,8.952426110294117e-09,4.084678474264706e-08,5.631788235294115e-10,-0.0526826597970215,-15.766497454642789,-40.968424573913246,-0.0409684245739132
83.4,8.951101477941175e-09,4.089303106617648e-08,5.642666605166053e-10,-0.0478108063031502,-14.09668128442858,-36.62949400176028,-0.0366294940017602
83.5,8.954846625e-09,4.0936713933823525e-08,5.661014944649444e-10,-0.0430431788016785,-12.484138127918,-32.439384380410615,-0.0324393843804106
83.60000000000002,8.958915375e-09,4.0897511727941167e-08,5.679193161764705e-10,-0.0383866122104235,-10.801547665643811,-28.06726047395814,-0.0280672604739581
83.7,8.960145235294118e-09,4.085830952205882e-08,5.696232867647059e-10,-0.0337491386242109,-9.167036036564658,-23.82006691789065,-0.0238200669178906
83.80000000000003,8.95130994117647e-09,4.083473838235295e-08,5.71327257352941e-10,-0.0290755247258168,-7.596038474139572,-19.73791136449847,-0.0197379113644984
83.9,8.942474647058822e-09,4.084595897058824e-08,5.71563412867647e-10,-0.0244784759862205,-5.858304840529161,-15.222500791990104,-0.0152225007919901
84.0,8.943845970588236e-09,4.0857179558823536e-08,5.696873466911762e-10,-0.0199197202306235,-4.165401504231512,-10.823579418136516,-0.0108235794181365
84.10000000000002,8.955423911764706e-09,4.087400731617647e-08,5.678112805147055e-10,-0.0146782961611497,-2.00917437024226,-5.220735225430231,-0.0052207352254302
84.2,8.967001852941176e-09,4.0894731580882344e-08,5.662389665441174e-10,-0.0100385974462829,-0.1856793495920636,-0.482478143961878,-0.0004824781439618
84.30000000000003,8.968844419117647e-09,4.091545584558824e-08,5.648031209558823e-10,-0.0063199774294638,1.712007426013994,4.448562358533216,0.0044485623585332
84.4,8.967941110294116e-09,4.0903798198529424e-08,5.63367275367647e-10,-0.001173505143642,3.674064769632981,9.546866437989792,0.0095468664379897
84.5,8.967684698529409e-09,4.0887301875e-08,5.642826099264705e-10,0.003237715191189,5.652586531604147,14.687952453215871,0.0146879524532158
84.60000000000002,8.977563007352942e-09,4.0870184243542434e-08,5.652706613970586e-10,0.0076788739569718,7.635414580824035,19.8402281321482,0.0198402281321482
84.7,8.987441316176471e-09,4.084954586715867e-08,5.655981797794119e-10,0.0091715999652417,8.015644103160367,20.82823479319796,0.0208282347931979
84.80000000000003,8.999186124999999e-09,4.0828907490774914e-08,5.639440988970588e-10,0.0131139954675474,9.586277708094356,24.909444621956936,0.0249094446219569
84.9,9.01455413970588e-09,4.082004176470589e-08,5.622900180147059e-10,0.017027831820031,10.993775851512437,28.566755428775764,0.0285667554287757
85.0,9.02992215441176e-09,4.0826159411764704e-08,5.630275231617646e-10,0.0210162343331826,12.472765668960704,32.40983363660387,0.0324098336366038
85.10000000000002,9.043149801470588e-09,4.0832277058823537e-08,5.6588586875e-10,0.024878692161641,13.808158193160564,35.879781737736465,0.0358797817377364
85.2,9.055065610294116e-09,4.0827555e-08,5.68744214338235e-10,0.0288686635680312,14.985945643594189,38.94020124219544,0.0389402012421954
85.30000000000003,9.066981419117648e-09,4.08186175e-08,5.689130621323531e-10,0.0328821874847487,16.11295958193209,41.86868841313325,0.0418686884131332
85.4,9.045474801470588e-09,4.0809680000000003e-08,5.684510400735291e-10,0.0370613146489066,17.04478212553822,44.289980884959846,0.0442899808849598
85.5,9.020254580882356e-09,4.084055867647058e-08,5.680095591911765e-10,0.0415345135882616,17.616620241465572,45.77587252248139,0.0457758725224813
85.60000000000002,8.997412610294117e-09,4.087143735294119e-08,5.677757724264707e-10,0.0462602797060995,17.54353767402676,45.58597126759594,0.0455859712675959
85.7,8.985404889705882e-09,4.088923838235294e-08,5.675419856617647e-10,0.0515171677958987,16.776563046597072,43.593027542183705,0.0435930275421837
85.80000000000003,8.973397169117648e-09,4.0873411176470586e-08,5.676697106617648e-10,0.0572560135108925,14.650038159236107,38.06736309432356,0.0380673630943235
85.9,8.960455686346863e-09,4.085758397058823e-08,5.684129827205883e-10,0.0635940183218985,11.45292452837179,29.759829413041388,0.0297598294130413
86.0,8.94641804797048e-09,4.083253735294119e-08,5.691562547794116e-10,0.0704280901884054,7.591006454904887,19.72483592392813,0.0197248359239281
86.10000000000002,8.932380409594093e-09,4.080024691176472e-08,5.687865452205883e-10,0.0776049587425069,4.170666754007248,10.83726089615157,0.0108372608961515
86.2,8.913129272058822e-09,4.076795647058824e-08,5.678175378676471e-10,0.0846487271274491,1.9198694882264744,4.988681128857973,0.0049886811288579
86.30000000000003,8.892140301470584e-09,4.0783564558823545e-08,5.668485305147055e-10,0.0913158319886676,0.9163557999576646,2.381102941945965,0.0023811029419459
86.4,8.871690955882351e-09,4.0808296176470585e-08,5.684983173431731e-10,0.0977506003505818,0.3631959446019127,0.9437457941930546,0.000943745794193
86.5,8.868689485294117e-09,4.082913794117647e-08,5.703452177121767e-10,0.1037892469496902,-0.0830396881536206,-0.2157743157952363,-0.0002157743157952
86.60000000000002,8.865688014705881e-09,4.082145411764706e-08,5.712139051470584e-10,0.1097529699111913,-0.4507871951366227,-1.1713471083840703,-0.001171347108384
86.7,8.8619488125e-09,4.0813770294117656e-08,5.686143830882351e-10,0.115662787852839,-0.7235467133593526,-1.8800985467597664,-0.0018800985467597
86.80000000000003,8.8565675625e-09,4.081388205882353e-08,5.660148610294114e-10,0.1212343657290554,-0.9336450977942828,-2.4260282842036927,-0.0024260282842036
86.9,8.851186312499999e-09,4.082568720588236e-08,5.640404860294115e-10,0.1267861428278193,-1.2117487626235812,-3.148666209910705,-0.0031486662099107
87.0,8.849288014705881e-09,4.083749235294117e-08,5.62691258088235e-10,0.1324148145932171,-1.3061349420451327,-3.393923793820884,-0.0033939237938208
87.10000000000002,8.849810073529412e-09,4.08445625e-08,5.613420301470584e-10,0.1378098347086358,-1.5168470432270476,-3.94144824234956,-0.0039414482423495
87.2,8.850332132352941e-09,4.084940441176471e-08,5.612775080882353e-10,0.1431581518432922,-1.6555337599971498,-4.301818471168293,-0.0043018184711682
87.30000000000003,8.839798474264704e-09,4.0854246323529424e-08,5.615753389705884e-10,0.1485728791204943,-1.7716599191038636,-4.603566262908855,-0.0046035662629088
87.4,8.827612812499998e-09,4.086296352941176e-08,5.620484227941175e-10,0.1537811367387965,-1.8396689939942887,-4.780284310972824,-0.0047802843109728
87.5,8.81839306985294e-09,4.087184220588236e-08,5.652671360294115e-10,0.159065419156436,-1.891694880882163,-4.915470875331109,-0.0049154708753311
87.60000000000002,8.825980202205882e-09,4.0876675294117654e-08,5.684858492647056e-10,0.1641239425132188,-1.941352242116383,-5.044502948822146,-0.0050445029488221
87.7,8.833567334558824e-09,4.086869735294119e-08,5.701353125e-10,0.1692692721401444,-2.008647404618145,-5.219365932631579,-0.0052193659326315
87.80000000000003,8.835319904411763e-09,4.0860719411764696e-08,5.687385845588235e-10,0.1744897656700684,-2.1365219747547504,-5.551641360109,-0.0055516413601089
87.9,8.829338286764704e-09,4.0865974705882346e-08,5.67341856617647e-10,0.1795215079820375,-2.120512828942782,-5.510042426384041,-0.005510042426384
88.0,8.823356669117644e-09,4.0883445294117655e-08,5.675465522058823e-10,0.1847510190726221,-2.1901048212040224,-5.690873603004276,-0.0056908736030042
88.10000000000002,8.816064683823529e-09,4.0900915882352943e-08,5.687327654411761e-10,0.1896317117746342,-2.137342793622508,-5.5537742152957215,-0.0055537742152957
88.2,8.808237477941176e-09,4.0894657058823536e-08,5.699189786764702e-10,0.194654463125193,-2.1955141430075065,-5.704929444698957,-0.0057049294446989
88.30000000000003,8.800410272058824e-09,4.088246588235295e-08,5.694730154411765e-10,0.1995064881509975,-2.2355556402073264,-5.808975195036127,-0.0058089751950361
88.4,8.801869775735294e-09,4.086867996309964e-08,5.688456992647055e-10,0.2046476468276981,-2.2445127430295395,-5.832249761402455,-0.0058322497614024
88.5,8.803423084558821e-09,4.083655450184503e-08,5.682163845588236e-10,0.2097191108552303,-2.189525325120945,-5.689367812536943,-0.0056893678125369
88.60000000000002,8.804722474264703e-09,4.0804429040590415e-08,5.675779654411762e-10,0.2146451936882868,-2.263996039014032,-5.882876093870283,-0.0058828760938702
88.7,8.805335341911764e-09,4.078917139705882e-08,5.669395463235296e-10,0.2197235786035392,-2.206372375345692,-5.733143997349773,-0.0057331439973497
88.80000000000003,8.805948209558824e-09,4.0802634632352944e-08,5.664207779411765e-10,0.2246465107825679,-2.2150810655801707,-5.7557730765117885,-0.0057557730765117
88.9,8.80983923897059e-09,4.0816097867647057e-08,5.66042469117647e-10,0.2296371429889484,-2.2051446287380743,-5.729953761570726,-0.0057299537615707
89.0,8.816412400735293e-09,4.0833893639705886e-08,5.656641602941175e-10,0.2345654315105893,-2.1946091601377,-5.702577893725191,-0.0057025778937251
89.10000000000002,8.822985562500001e-09,4.085402231617647e-08,5.67590244117647e-10,0.2395802342932524,-2.1931117636527,-5.698686986747948,-0.0056986869867479
89.2,8.828694547794118e-09,4.087415099264706e-08,5.703259794117646e-10,0.2443996317389857,-2.2413751245033406,-5.824096822659904,-0.0058240968226599
